YEAR	Quarter	LENGTH	Sex	Landings	Discards
2000	1	14	F	3.68745669887701	2976.89764625892
2000	1	15	F	283.946091524408	145828.186303111
2000	1	16	F	531.075809867323	173512.475236279
2000	1	17	F	1229.92764919163	255636.201493079
2000	1	18	F	8423.20012209465	1113752.04848935
2000	1	19	F	5276.3670409114	443828.310888991
2000	1	20	F	11499.5988021369	615362.883331127
2000	1	21	F	36065.4312629136	1227745.48053712
2000	1	22	F	99238.4411981353	2149145.17987427
2000	1	23	F	308078.461708864	4244394.69594614
2000	1	24	F	645235.124928063	5655109.68878638
2000	1	25	F	1058423.30690439	5901345.37430952
2000	1	26	F	1013439.27857519	3594661.29986423
2000	1	27	F	985415.115884838	2223555.98818598
2000	1	28	F	1185311.47445411	1701492.12671913
2000	1	29	F	1235581.65784456	1128333.5810254
2000	1	30	F	1228076.40308066	713444.268798885
2000	1	31	F	1558311.63693725	575913.934428503
2000	1	32	F	1696502.25904682	398865.359793407
2000	1	33	F	1095167.91520989	163802.752894876
2000	1	34	F	741181.839164801	70523.5003220362
2000	1	35	F	471610.713387396	28547.0580572313
2000	1	36	F	535057.439709795	20603.7707482551
2000	1	37	F	379887.250741828	9306.1409562311
2000	1	38	F	141088.42959264	2198.74524401487
2000	1	39	F	85683.2395356148	849.469905297377
2000	1	40	F	71819.6450876275	452.964305274598
2000	1	41	F	51163.5433426073	205.281562689022
2000	1	43	F	13090.9777236899	21.2568362289846
2000	1	44	F	10457.1507142985	10.8021080215172
2000	1	48	F	2382.50506235525	0.403091280716081
2000	1	15	M	255.161579072895	131045.122300053
2000	1	16	M	386.309239324176	126214.508505910
2000	1	17	M	2925.17346079229	607987.171210262
2000	1	18	M	8618.47949514266	1139572.73404915
2000	1	19	M	15078.1674144702	1268319.19064330
2000	1	20	M	15186.3881657791	812649.18627796
2000	1	21	M	36334.0032644881	1236888.25381295
2000	1	22	M	118198.912288528	2559760.30602993
2000	1	23	M	247883.903117393	3415094.70595885
2000	1	24	M	622088.75294133	5452245.23298507
2000	1	25	M	743333.784181387	4144532.11700022
2000	1	26	M	1537581.72459041	5453790.51079832
2000	1	27	M	1797880.35042802	4056856.39969758
2000	1	28	M	2256424.34817978	3239054.32935542
2000	1	29	M	2172602.78354138	1984021.58476149
2000	1	30	M	2194137.18050620	1274671.99309739
2000	1	31	M	2029476.94528073	750045.128768826
2000	1	32	M	1431665.32653253	336599.437180817
2000	1	33	M	1378193.64700587	206134.520804076
2000	1	34	M	1289206.87246458	122668.117972074
2000	1	35	M	1078557.76687884	65286.157237646
2000	1	36	M	985940.783317436	37966.2001930961
2000	1	37	M	589110.198757224	14431.4991821451
2000	1	38	M	653654.63898284	10186.6611800940
2000	1	39	M	562278.811310695	5574.47327135997
2000	1	40	M	461405.1482259	2910.06815978087
2000	1	41	M	214682.513992785	861.362585060573
2000	1	42	M	179140.819717193	457.24871540115
2000	1	43	M	191947.151022844	311.679481856356
2000	1	44	M	157189.107404588	162.374413870551
2000	1	45	M	55202.4422054319	36.2762215945529
2000	1	46	M	21802.6845326049	9.11469899815992
2000	1	48	M	4768.12945441788	0.806710314605319
2000	1	52	M	4768.80401890035	0.132145832132163
2000	2	14	F	0.860027995140679	694.303831481318
2000	2	15	F	132.662534311840	68132.4284662764
2000	2	16	F	294.425374528762	96194.3183208038
2000	2	17	F	294.247088489258	61158.2380892297
2000	2	18	F	1601.68508518117	211781.747886538
2000	2	19	F	1993.687835751	167701.582873294
2000	2	20	F	5893.65155338241	315379.212409084
2000	2	21	F	18738.6258038160	637903.453154294
2000	2	22	F	38229.5539029829	827913.664376296
2000	2	23	F	101738.125577319	1401645.40611067
2000	2	24	F	133969.014564748	1174160.30682883
2000	2	25	F	149611.755301426	834175.35718547
2000	2	26	F	132424.339766657	469708.111164309
2000	2	27	F	161973.778676809	365488.371043032
2000	2	28	F	218215.777869586	313244.607829337
2000	2	29	F	260491.502111573	237880.926394598
2000	2	30	F	288876.190109567	167821.042493063
2000	2	31	F	376898.360517209	139292.43197576
2000	2	32	F	438643.228536178	103129.593985525
2000	2	33	F	340442.080595279	50919.451919917
2000	2	34	F	436596.997339639	41542.2327632555
2000	2	35	F	283847.476062756	17181.5655339152
2000	2	36	F	176030.191764685	6778.49787091663
2000	2	37	F	204921.346669105	5019.98141111454
2000	2	38	F	112517.890119842	1753.49726750730
2000	2	39	F	80385.560606614	796.948328819826
2000	2	40	F	52987.7215452367	334.191939385632
2000	2	41	F	29400.4026202061	117.962130831081
2000	2	42	F	14657.5652087737	37.4127620561354
2000	2	43	F	23426.6269309847	38.0396317662588
2000	2	44	F	6634.84744764344	6.85371577725604
2000	2	45	F	2084.12200004691	1.36957838246412
2000	2	46	F	3581.48292853915	1.49725318512337
2000	2	47	F	2470.06109234506	0.656914216877446
2000	2	51	F	2470.61038986631	0.107616695623485
2000	2	15	M	101.050484384172	51897.206204455
2000	2	16	M	204.061390703652	66670.7018909317
2000	2	17	M	389.499956828287	80956.2168235995
2000	2	18	M	1285.80742664860	170015.034029197
2000	2	19	M	3079.69016427150	259052.047189271
2000	2	20	M	4895.23149370104	261952.074882599
2000	2	21	M	11160.2094987263	379917.729917694
2000	2	22	M	34240.7334662953	741530.26182188
2000	2	23	M	76293.3179312997	1051092.47873923
2000	2	24	M	131198.898536025	1149881.85485391
2000	2	25	M	181719.259379508	1013193.96858206
2000	2	26	M	279693.801675078	992071.755997873
2000	2	27	M	350429.135235155	790731.529815528
2000	2	28	M	318805.568269221	457639.342953395
2000	2	29	M	394689.34036991	360430.436940137
